Fingerprint	Family	Family Name	Product	HW Rev	Custom	Product Line	Firmware Version	Firmware File
0x01010101	0x01	Keypad	0x01	0x01	0x01	QS	7.008.0	v7.008.s19
0x01010201	0x01	Keypad	0x01	0x02	0x01	QS	7.008.0	v7.008.s19
0x01020101	0x01	Keypad	0x02	0x01	0x01	QS	7.008.0	v7.008.s19
0x01020201	0x01	Keypad	0x02	0x02	0x01	QS	7.008.0	v7.008.s19
0x01030201	0x01	Keypad	0x03	0x02	0x01	QS	3.7.0	RF_Wall_Keypad_3-07.ldf
0x01040201	0x01	Keypad	0x04	0x02	0x01	QS	2.6.0	RF_TT_Keypad_2-06.ldf
0x01040301	0x01	Keypad	0x04	0x03	0x01	QS	2.6.0	VA_TT_Keypad_2-06.ldf
0x01040401	0x01	Keypad	0x04	0x04	0x01	QS	3.8.0	RF_TT_KP_868_3-08.ldf
0x01080201	0x01	Keypad	0x08	0x02	0x01	QS	2.28.0	RF_HB_Keypad_2-28.ldf
0x010A0101	0x01	Keypad	0x0A	0x01	0x01	QS	7.03.0	QS-KS_OS_7-003.s19
0x010C0101	0x01	Keypad	0x0C	0x01	0x01	HomeWorks QS	7.008.0	v7.008.s19
0x010C0201	0x01	Keypad	0x0C	0x02	0x01	HomeWorks QS	7.008.0	v7.008.s19
0x010D0101	0x01	Keypad	0x0D	0x01	0x01	HomeWorks QS	7.008.0	v7.008.s19
0x010D0201	0x01	Keypad	0x0D	0x02	0x01	HomeWorks QS	7.008.0	v7.008.s19
0x010F0201	0x01	Keypad	0x0F	0x02	0x01	HomeWorks QS	3.13.0	HWQS_Wall_3.13.ldf
0x01100201	0x01	Keypad	0x10	0x02	0x01	HomeWorks QS	2.06.0	HWQS_TT_2.06.ldf
0x01100301	0x01	Keypad	0x10	0x03	0x01	HomeWorks QS	3.14.0	HWQS_TT_3.14.ldf
0x01110201	0x01	Keypad	0x11	0x02	0x01	HomeWorks QS	3.13.0	HWQS_Hybrid_3.13.LDF
0x01130101	0x01	Keypad	0x13	0x01	0x01	QS	7.05.0	QSE_CI_WCI_7_005.s19
