Lutron MAP Schedule (effective 2/8/2026),,,,
"All resellers and their customers are subject to Lutron’s full MAP policy terms, applicable to the relevant products being advertised and sold. These can be found at www.lutron.com/salespolicies and are incorporated by reference herein. While Sellers remain free to advertise and sell all of our products (including the Covered Product) at any price, it is a violation of the Policy for a Seller to advertise any Covered Product at a price lower than the MAP.",,,,
SKU,DESCRIPTION,MAP,U.P.C.,
CAR2S-15-DTR-BL,15A DUPLEX RF RECEPTACLE BLACK,$231.75,784276221832,
CAR2S-15-DTR-LA,15A DUPLEX RF RECEPTACLE LIGHT ALMOND,$231.75,784276221825,
CAR2S-15-DTR-WH,15A DUPLEX RF RECEPTACLE WHITE,$231.75,784276221801,
CAR2S-15-STR-BL,15A SPLIT RF RECEPTACLE BLACK,$231.75,784276221900,
CAR2S-15-STR-LA,15A SPLIT RF RECEPTACLE LIGHT ALMOND,$231.75,784276221894,
CAR2S-15-STR-WH,15A SPLIT RF RECEPTACLE WHITE,$231.75,784276221870,
CAR2S-20-DTR-BL,20A DUPLEX RF RECEPTACLE BLACK,$260.00,784276221979,
CAR2S-20-DTR-LA,20A DUPLEX RF RECEPTACLE LIGHT ALMOND,$260.00,784276221962,
CAR2S-20-DTR-WH,20A DUPLEX RF RECEPTACLE WHITE,$260.00,784276221948,
CAR2S-20-STR-BL,20A SPLIT RF RECEPTACLE BLACK,$260.00,784276222044,
CAR2S-20-STR-LA,20A SPLIT RF RECEPTACLE LIGHT ALMOND,$260.00,784276222037,
CAR2S-20-STR-WH,20A SPLIT RF RECEPTACLE WHITE,$260.00,784276222013,
CONNECT-BDG2-1,CONNECT BRIDGE W US,$440.00,784276177641,
DVCLN-153P-WH,DIVA 150 LED MULT NIGHTMODE WH,$37.95,784276826273,
DVRF-5NE-BL,DIVA SMART ELV+ BLACK,$139.95,784276323925,
DVRF-5NE-BR,DIVA SMART ELV+ BROWN,$139.95,784276323932,
DVRF-5NE-GR,DIVA SMART ELV+ GRAY,$139.95,784276323949,
DVRF-5NE-IV,DIVA SMART ELV+ IVORY,$139.95,784276323956,
DVRF-5NE-LA,DIVA SMART ELV+ LT ALM,$139.95,784276323963,
DVRF-5NE-WH,DIVA SMART ELV+ WHITE,$139.95,784276818568,
